origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
MSP,2013,1,1,10,1.4,-4,77.49,170,5.7539,NA,0,NA,9,2013-01-01T16:00:00Z
MSP,2013,1,1,13,8.6,-0.4,66.11,200,4.60312,NA,0,NA,10,2013-01-01T19:00:00Z
MSP,2013,1,1,16,12.2,8.6,85.17,220,4.60312,NA,1e-4,NA,7,2013-01-01T22:00:00Z
MSP,2013,1,1,17,14,8.6,78.68,200,3.4523399999999995,NA,1e-4,NA,9,2013-01-01T23:00:00Z
MSP,2013,1,1,19,15.8,10.4,78.84,200,4.60312,NA,0,NA,10,2013-01-02T01:00:00Z
MSP,2013,1,1,21,17.6,15.8,92.5,200,4.60312,NA,0,NA,10,2013-01-02T03:00:00Z
MSP,2013,1,2,3,17.6,15.8,92.5,210,6.904679999999999,NA,0,NA,6,2013-01-02T09:00:00Z
MSP,2013,1,2,6,15.8,14,92.44,160,6.904679999999999,NA,0,NA,3,2013-01-02T12:00:00Z
MSP,2013,1,2,7,15.8,14,92.44,190,5.7539,NA,1e-4,NA,3,2013-01-02T13:00:00Z
MSP,2013,1,2,8,14,12.2,92.38,200,8.05546,NA,1e-4,NA,2,2013-01-02T14:00:00Z
MSP,2013,1,2,9,14,12.2,92.38,220,8.05546,NA,1e-4,NA,2,2013-01-02T15:00:00Z
MSP,2013,1,2,10,14,12.2,92.38,180,5.7539,NA,1e-4,NA,4,2013-01-02T16:00:00Z
MSP,2013,1,2,11,14,12.2,92.38,NA,5.7539,NA,1e-4,NA,4,2013-01-02T17:00:00Z
MSP,2013,1,2,12,15.8,12.2,85.4,NA,4.60312,NA,1e-4,NA,4,2013-01-02T18:00:00Z
MSP,2013,1,2,14,15.8,14,92.44,170,5.7539,NA,1e-4,NA,4,2013-01-02T20:00:00Z
MSP,2013,1,2,15,15.8,12.2,85.4,150,6.904679999999999,NA,1e-4,NA,2,2013-01-02T21:00:00Z
MSP,2013,1,2,16,15.8,12.2,85.4,150,5.7539,NA,1e-4,NA,4,2013-01-02T22:00:00Z
MSP,2013,1,2,17,17.6,14,85.51,160,3.4523399999999995,NA,1e-4,NA,1.75,2013-01-02T23:00:00Z
